CircleName,Abbrev,LatLong
Gander,NLGA,48.9683220000/-54.7123010000

CountYear3,LowTemp,HighTemp,AMCloud,PMClouds,AMRain,PMRain,AMSnow,PMSnow
123,-1.0 Celsius,-1.0 Celsius,Clear,Clear,None,None,None,None
122,-4.0 Celsius,-1.0 Celsius,Clear,Clear,None,None,None,Light
121,5.0 Celsius,9.0 Celsius,Clear,Clear,None,None,None,None
120,-6.0 Celsius,-5.0 Celsius,Clear,Clear,None,None,None,None
119,-8.0 Celsius,-7.0 Celsius,Partly Cloudy,Partly Cloudy,None,None,None,None
118,-10.0 Celsius,-6.0 Celsius,Cloudy,Cloudy,None,None,None,None
117,-11.0 Celsius,-6.0 Celsius,Partly Clear,Partly Clear,None,None,None,None
116,-7.0 Celsius,-4.0 Celsius,Partly Cloudy,Partly Cloudy,None,None,None,None
115,3.0 Celsius,4.0 Celsius,Partly Cloudy,Partly Cloudy,None,None,None,None
114,-15.0 Celsius,-7.0 Celsius,,,,,,
113,-3.0 Celsius,-2.0 Celsius,Cloudy,Cloudy,,,Light,Heavy
112,-10.0 Celsius,-5.0 Celsius,Partly Cloudy,Partly Cloudy,None,None,None,None
111,30.0 Celsius,32.0 Celsius,Cloudy,Cloudy,None,Light,Light,None
110,36.0 Celsius,39.0 Celsius,Cloudy,Cloudy,Light,Light,None,None
109,-9.0 Fahrenheit,-12.0 Fahrenheit,Clear,Clear,,,,
108,31.0 Celsius,32.0 Celsius,Clear,Clear,None,None,None,None
107,27.0 Celsius,27.0 Celsius,Unknown,Unknown,None,None,None,None
106,27.0 Fahrenheit,27.0 Fahrenheit,Partly Cloudy,Partly Cloudy,None,None,None,None
105,10.0 Celsius,10.0 Celsius,Clear,Clear,None,None,None,None
104,37.0 Celsius,37.0 Celsius,Clear,Clear,None,None,None,None
103,19.0 Celsius,28.0 Celsius,Partly Cloudy,Partly Cloudy,None,None,None,Heavy
102,23.0 Celsius,27.0 Celsius,Clear,Clear,None,None,None,None
101,27.0 Celsius,28.0 Celsius,Clear,Clear,None,None,None,None

CountYear5,LowTemp3,HighTemp2,AMCloud2,PMClouds2
123,12/26/2022,5,16.50,23
122,12/26/2021,4,10.00,37
121,12/26/2020,7,23.25,28
120,12/27/2019,5,16.00,27
118,12/30/2017,5,21.00,27
117,12/26/2016,5,16.00,25
116,12/31/2015,5,15.75,30
115,12/26/2014,6,20.00,26
113,12/28/2012,6,15.50,25
112,12/25/2011,5,22.50,30
111,12/29/2010,4,17.00,24
110,12/29/2009,5,20.00,32
109,12/26/2008,4,16.00,30
108,12/26/2007,7,26.00,39
107,12/26/2006,8,34.00,30
106,01/02/2006,7,23.50,30
105,12/26/2004,6,22.00,31
104,12/26/2003,10,16.00,30
103,12/26/2002,8,18.75,24
102,12/30/2001,7,20.50,29
101,12/27/2000,5,9.25,27

CountYear4,LowTemp2
123,
122,
121,
120,
118,
117,
116,
115,
113,
112,
111,
110,
109,
108,
107,
106,
105,THOMAS HOWE DEMONSTRATION FOREST (IN PART)
104,Gander THDF in part.
103,
102,
101,

COM_NAME,CountYear,how_manyCW,NumberByPartyHours,Flags
"Canada Goose
[Branta canadensis]","2000 [101]
Count Date: 12/27/2000
# Participants: 
# Species Reported: 27
Total Hrs.: 9.25",,,
"Canada Goose
[Branta canadensis]","2001 [102]
Count Date: 12/30/2001
# Participants: 
# Species Reported: 29
Total Hrs.: 20.50",,,
"Canada Goose
[Branta canadensis]","2002 [103]
Count Date: 12/26/2002
# Participants: 
# Species Reported: 24
Total Hrs.: 18.75",,,
"Canada Goose
[Branta canadensis]","2003 [104]
Count Date: 12/26/2003
# Participants: 9
# Species Reported: 30
Total Hrs.: 16.00",,,
"Canada Goose
[Branta canadensis]","2004 [105]
Count Date: 12/26/2004
# Participants: 4
# Species Reported: 31
Total Hrs.: 22.00",2,0.0909,"US,"
"Canada Goose
[Branta canadensis]","2005 [106]
Count Date: 1/2/2006
# Participants: 
# Species Reported: 30
Total Hrs.: 23.50",,,
"Canada Goose
[Branta canadensis]","2006 [107]
Count Date: 12/26/2006
# Participants: 
# Species Reported: 30
Total Hrs.: 34.00",,,
"Canada Goose
[Branta canadensis]","2007 [108]
Count Date: 12/26/2007
# Participants: 
# Species Reported: 39
Total Hrs.: 26.00",9,0.3462,"HC,"
"Canada Goose
[Branta canadensis]","2008 [109]
Count Date: 12/26/2008
# Participants: 
# Species Reported: 30
Total Hrs.: 16.00",5,0.3125,
"Canada Goose
[Branta canadensis]","2009 [110]
Count Date: 12/29/2009
# Participants: 
# Species Reported: 32
Total Hrs.: 20.00",4,0.2000,
"Canada Goose
[Branta canadensis]","2010 [111]
Count Date: 12/29/2010
# Participants: 
# Species Reported: 24
Total Hrs.: 17.00",,,
"Canada Goose
[Branta canadensis]","2011 [112]
Count Date: 12/25/2011
# Participants: 6
# Species Reported: 30
Total Hrs.: 22.50",1,0.0444,
"Canada Goose
[Branta canadensis]","2012 [113]
Count Date: 12/28/2012
# Participants: 6
# Species Reported: 25
Total Hrs.: 15.50",,,
"Canada Goose
[Branta canadensis]","2013 [114]
Count Date: 12/26/2013
# Participants: 5
# Species Reported: 20
Total Hrs.: ",,,
"Canada Goose
[Branta canadensis]","2014 [115]
Count Date: 12/26/2014
# Participants: 1
# Species Reported: 26
Total Hrs.: 20.00",,,
"Canada Goose
[Branta canadensis]","2015 [116]
Count Date: 12/31/2015
# Participants: 6
# Species Reported: 30
Total Hrs.: 15.75",,,
